Time,NS,UD,EW
34.544000000000004,52742.0,151369.4955792427,-390114.0
34.548,119882.0,178545.0125874281,-182336.0
34.552,206150.0,147260.1326802969,34089.0
34.556,244716.0,59806.14791512489,167048.0
34.56,183270.0,-41393.78644621372,186380.0
34.564,35926.0,-103525.4786208868,150812.0
34.568,-117691.0,-98124.44714677334,159514.0
34.572,-185587.0,-35418.5798971653,256733.0
34.576,-127918.0,45723.98591244221,382116.0
34.58,14283.0,103741.80831944942,421160.0
34.584,147410.0,119043.52899777889,304604.0
34.588,189111.0,99589.17948079109,59352.0
34.592,118976.0,68026.67646050453,-224329.0
34.596000000000004,-17033.0,46111.576622366905,-456249.0
34.6,-141404.0,44322.34974050522,-574516.0
34.604,-189616.0,56451.23483991623,-536716.0
34.608000000000004,-138913.0,63690.16737806797,-321322.0
34.612,-12170.0,50031.65103507042,37333.0
34.616,135365.0,18285.26777100563,416043.0
34.62,237301.0,-7577.849065899849,632845.0
34.624,245746.0,2396.7527853250504,556917.0
34.628,160324.0,62839.27056372166,220920.0
34.632,30421.0,161568.53949272633,-180559.0
34.636,-76857.0,262048.2762326002,-426209.0
34.64,-115746.0,316350.6360667944,-420359.0
34.644,-80157.0,288164.67909157276,-234181.0
34.648,2451.0,176503.40105724335,-21262.0
34.652,91029.0,20984.88213431835,102114.0
34.656,151823.0,-115070.27353417873,115415.0
34.660000000000004,170506.0,-171554.85920262337,68638.0
34.664,150833.0,-119906.14367079735,23172.0
34.668,102060.0,18273.54991233349,14102.0
34.672000000000004,29510.0,179045.27501535416,46426.0
34.676,-58168.0,288921.83303654194,103840.0
34.68,-137992.0,299714.88224732876,150887.0
34.684,-181552.0,207148.30560612679,137682.0
34.688,-178491.0,50732.01843416691,29446.0
34.692,-148012.0,-101592.03193998337,-151138.0
34.696,-126081.0,-182340.6974234581,-315192.0
34.7,-136145.0,-160833.91989135742,-354787.0
34.704,-164628.0,-65074.67744886875,-219013.0
34.708,-167667.0,35032.79193472862,30839.0
34.712,-110665.0,75279.12960481644,237746.0
34.716,-3523.0,36901.33970606327,253813.0
34.72,102874.0,-48915.750339984894,64256.0
34.724000000000004,151142.0,-126906.2121667862,-189407.0
34.728,112710.0,-153761.7414958477,-322050.0
